PolicyID,State,CoverageGap,CreditScore,Age,NumberOfVehicles,NewestVehicleAge,PriorAccidentCount,ZipCode,TimeInsured,ClaimAmount,ClaimFlag
1,FL,No Gap,397,35,1,9,0,60505,1,0,0
2,NY,No Gap,584,50,6,5,0,89206,1,0,0
3,NY,No Gap,452,70,2,16,0,99394,0.5178082,1200,1
4,NY,No Gap,556,70,2,17,0,99394,1,0,0
5,NY,No Gap,636,60,2,1,1,59154,0.9479452,0,0
6,CA,No Gap,458,53,1,2,1,73531,1,0,0
7,NY,No Gap,392,43,2,0,2,58866,0.8630137,0,0
8,NY,Small Gap,345,70,2,0,0,83095,1,0,0
9,TX,No Gap,382,46,1,12,0,66627,NA,0,0
10,TX,No Gap,778,32,1,15,1,66627,0.1808219,0,0
11,CA,No Gap,505,70,2,11,0,90344,1,0,0
12,WV,No Gap,675,50,1,20,0,66505,0.1260274,0,0
13,NY,No Gap,468,52,3,8,3,99315,1,0,0
14,NY,No Gap,600,51,2,1,2,10404,0.3863014,0,0
15,CA,No Gap,448,39,3,1,0,50533,1,5200,1
16,CA,No Gap,405,36,3,7,1,50533,1,0,0
17,NY,Large Gap,515,70,2,11,0,50628,0.4958904,0,0
18,TX,No Gap,467,55,2,7,2,93812,1,0,0
19,TX,No Gap,575,41,3,0,0,83095,1,0,0
20,TX,Large Gap,543,61,3,3,1,59414,1,0,0
21,TX,Small Gap,780,62,2,2,1,10545,1,0,0
22,CA,No Gap,543,70,2,5,1,68513,0.7424658,0,0
23,NY,No Gap,559,51,2,3,0,61004,1,0,0
24,CA,Large Gap,401,60,2,6,0,69600,0.5068493,0,0
25,TX,No Gap,480,70,1,17,1,79322,NA,0,0
26,TX,No Gap,657,26,1,6,0,57398,1,0,0
27,TX,No Gap,517,71,1,3,0,61117,1,0,0
28,NY,No Gap,779,49,2,8,3,58866,1,0,0
29,CA,No Gap,489,39,2,5,2,75416,1,0,0
30,TX,No Gap,402,56,2,7,0,10110,1,0,0
31,WV,Small Gap,483,52,4,2,1,96363,1,0,0
32,WV,Small Gap,530,46,4,1,0,10130,1,0,0
33,NY,No Gap,597,39,2,0,2,68642,NA,0,0
34,CA,No Gap,710,28,1,6,1,88509,0.3808219,0,0
35,CA,No Gap,525,28,1,16,0,10699,1,0,0
36,CA,No Gap,592,50,1,5,0,91348,1,0,0
37,CA,No Gap,421,56,1,10,0,65288,1,0,0
38,WV,No Gap,355,44,2,2,0,84430,1,0,0
39,NY,No Gap,509,52,2,12,0,63012,1,0,0
40,NY,No Gap,626,66,1,3,1,10340,1,1600,1
41,TX,No Gap,475,51,1,9,1,82672,1,0,0
42,WV,Large Gap,657,31,1,1,0,48691,1,0,0
43,NY,No Gap,416,65,2,8,2,57113,1,0,0
44,TX,No Gap,543,58,2,2,1,74245,0.9972603,0,0
45,NY,No Gap,581,37,1,9,0,71309,1,0,0
46,NY,Large Gap,378,53,2,11,2,10396,1,0,0
47,TX,No Gap,454,70,1,2,1,65259,1,0,0
