iter	Passed	Remaining
0	68	68875
1	76	38264
2	81	26944
3	86	21624
4	91	18256
5	96	16005
6	101	14364
7	107	13340
8	112	12398
9	116	11567
10	121	10956
11	125	10368
12	131	9954
13	136	9602
14	141	9302
15	147	9052
16	152	8842
17	158	8659
18	164	8477
19	169	8290
20	171	8011
21	178	7952
22	185	7882
23	191	7793
24	197	7718
25	204	7666
26	210	7577
27	213	7424
28	220	7382
29	226	7334
30	232	7265
31	238	7209
32	244	7168
33	251	7131
34	253	6994
35	259	6942
36	264	6883
37	270	6852
38	276	6802
39	282	6771
40	287	6727
41	292	6673
42	298	6650
43	304	6622
44	310	6580
45	316	6559
46	322	6537
47	329	6530
48	335	6509
49	339	6443
50	344	6407
51	353	6444
52	364	6508
53	374	6564
54	382	6580
55	392	6611
56	403	6673
57	413	6719
58	423	6749
59	431	6767
60	440	6776
61	447	6762
62	456	6794
63	465	6804
64	473	6805
65	482	6831
66	490	6832
67	497	6815
68	503	6790
69	508	6760
70	513	6720
71	521	6715
72	527	6703
73	533	6675
74	540	6662
75	543	6606
76	550	6603
77	558	6596
78	565	6593
79	572	6584
80	578	6560
81	584	6548
82	590	6526
83	597	6515
84	604	6511
85	610	6493
86	618	6489
87	625	6477
88	631	6460
89	637	6448
90	643	6423
91	649	6407
92	655	6389
93	660	6361
94	666	6353
95	672	6336
96	679	6326
97	682	6278
98	686	6251
99	693	6243
100	698	6221
101	704	6204
102	711	6196
103	713	6146
104	716	6106
105	720	6074
106	725	6055
107	731	6042
108	734	6006
109	740	5987
110	745	5967
111	750	5950
112	753	5915
113	759	5900
114	765	5893
115	772	5887
116	777	5869
117	779	5828
118	785	5815
119	791	5806
120	796	5789
121	799	5755
122	806	5747
123	811	5735
124	816	5717
125	822	5707
126	829	5703
127	855	5826
128	861	5815
129	864	5784
130	870	5774
131	876	5762
132	880	5738
133	883	5710
134	889	5698
135	896	5692
136	898	5656
137	899	5621
138	906	5615
139	912	5602
140	917	5592
141	924	5586
142	928	5562
143	934	5553
144	940	5547
145	947	5540
146	953	5532
147	960	5526
